セックスに関する基本的な呪文		セックス	sex
セックスに関する基本的な呪文		ラフセックス、激しいセックス	rough sex
セックスに関する基本的な呪文		着衣セックス	clothed sex
セックスに関する基本的な呪文		3P	threesome
セックスに関する基本的な呪文		4P,5P	group sex
セックスに関する基本的な呪文		事後	after sex
セックスに関する基本的な呪文		膣内性交	vaginal sex
セックスに関する基本的な呪文		挿入	penetration
セックスに関する基本的な呪文		深い挿入	deep penetration
セックスに関する基本的な呪文		浅い挿入	shallow penetration
セックスに関する基本的な呪文		ハードコアセックス	hardcore sex
セックスに関する基本的な呪文		優しいセックス	gentle sex
セックスに関する基本的な呪文		情熱的なセックス	passionate sex
セックスに関する基本的な呪文		衝動的なセックス	spontaneous sex
セックスに関する基本的な呪文		野外セックス	outdoor sex
セックスに関する基本的な呪文		公開セックス	public sex
セックスに関する基本的な呪文		スリリングなセックス	risky sex
体位別プロンプト	正常位系	正常位	missionary
体位別プロンプト	正常位系	足上げ正常位	legs up missionary
体位別プロンプト	正常位系	アンビル体位	anvil position
体位別プロンプト	正常位系	蓮華座位	lotus position
体位別プロンプト	正常位系	パイルドライバー	piledriver
体位別プロンプト	正常位系	蝶々体位	butterfly position
体位別プロンプト	正常位系	デッキチェア体位	deck chair position
体位別プロンプト	正常位系	種付けプレス	mating press
体位別プロンプト	騎乗位系	騎乗位	cowgirl position
体位別プロンプト	騎乗位系	ちんぐり騎乗位	amazon position
体位別プロンプト	騎乗位系	背面騎乗位	reverse cowgirl position
体位別プロンプト	騎乗位系	しゃがみ騎乗位	squatting cowgirl
体位別プロンプト	騎乗位系	後ろに反る騎乗位	leaning back cowgirl
体位別プロンプト	騎乗位系	横向き騎乗位	sideways cowgirl
体位別プロンプト	後背位系	後背位(バック)	doggystyle
体位別プロンプト	後背位系	寝バック	prone bone
体位別プロンプト	後背位系	立ちバック	standing sex
体位別プロンプト	後背位系	膝立ちバック	kneeling doggy
体位別プロンプト	後背位系	四つん這い	all fours
体位別プロンプト	後背位系	机バック	table doggy
体位別プロンプト	後背位系	後方挿入	rear entry
体位別プロンプト	座位系	膝の上でセックス	lap sex
体位別プロンプト	座位系	蓮華座位	lotus position
体位別プロンプト	座位系	対面座位	upright straddle
体位別プロンプト	座位系	背面座位	reverse upright straddle
体位別プロンプト	立位・駅弁系	駅弁	suspended congress
体位別プロンプト	立位・駅弁系	背面駅弁	reverse suspended congress
体位別プロンプト	立位・駅弁系	フルネンソン	full nelson
体位別プロンプト	立位・駅弁系	抱えて挿入	carrying position
体位別プロンプト	立位・駅弁系	立位	standing position
体位別プロンプト	立位・駅弁系	壁際セックス	wall sex
体位別プロンプト	立位・駅弁系	開脚立位	standing split
体位別プロンプト	側位系	側位	spooning
体位別プロンプト	特殊体位	69	69
体位別プロンプト	特殊体位	逆69	reverse 69
体位別プロンプト	特殊体位	貝合わせ	tribbing
体位別プロンプト	特殊体位	プレッツェル体位	pretzel position
体位別プロンプト	特殊体位	手押し車体位	wheelbarrow position
体位別プロンプト	特殊体位	バレリーナ体位	ballet dancer position
体位別プロンプト	特殊体位	逆69	reverse 69
体位別プロンプト	特殊体位	素股	thigh sex
複数プレイ		乱交	orgy
複数プレイ		輪姦	gangbang
複数プレイ		二穴責め	double penetration
複数プレイ		三穴責め	triple penetration
複数プレイ		串刺しファック	spitroast
複数プレイ		エッフェル塔	eiffel tower
動き・リズム表現		突く	thrusting
動き・リズム表現		激しく突く	pounding
動き・リズム表現		腰を擦る	grinding
動き・リズム表現		跳ねる	bouncing
動き・リズム表現		揺れる	rocking
動き・リズム表現		ゆっくり挿入	slow thrust
動き・リズム表現		激しく挿入	fast thrust
おもちゃやオブジェクトに関する呪文		大人のおもちゃ	sex toy
おもちゃやオブジェクトに関する呪文		アナルビーズ	anal beads
おもちゃやオブジェクトに関する呪文		アナル尻尾	anal tail
おもちゃやオブジェクトに関する呪文		アナルプラグ	butt plug
おもちゃやオブジェクトに関する呪文		バイブ	vibrator
エフェクト・演出に関する呪文		モーションブラー	motion blur
エフェクト・演出に関する呪文		モーションライン	motion lines
エフェクト・演出に関する呪文		汗	sweat
