体位の基本プロンプト 11選		日本語プロンプトひとこと解説正常位	missionary	ノーマル正常位
体位の基本プロンプト 11選		騎乗位	cowgirl position	ノーマル騎乗位
体位の基本プロンプト 11選		バック	doggystyle	ノーマル後背位
体位の基本プロンプト 11選		立ちバック	standing doggystyle, standing sex	立ちバック
体位の基本プロンプト 11選		対面座位	lotus position, sitting, face to face	ノーマル対面座位
体位の基本プロンプト 11選		背面騎乗位	reverse cowgirl	尻と背中を向けた騎乗位
体位の基本プロンプト 11選		駅弁	standing missionary	抱き上げて突く駅弁
体位の基本プロンプト 11選		寝バック	prone bone, prone position, sex from behind	うつ伏せ寝バック
体位の基本プロンプト 11選		スプーン	sideways missionary, spooning	横向きバックハグ
体位の基本プロンプト 11選		パイルドライバー	piledriver position	アクロバティック
体位の基本プロンプト 11選		フルネルソン	full nelson	拘束バック
体位の基本プロンプト 11選		フェラチオ	fellatio	口で優しく咥える
体位の基本プロンプト 11選		クンニリングス	cunnilingus	舌でクリを優しく愛撫
体位の基本プロンプト 11選		パイズリ	paizuri	おっぱいで挟んで擦る基本
体位の基本プロンプト 11選		手コキ	handjob	手で優しくしごく基本形
体位の基本プロンプト 11選		手マン	fingering	指で中を優しくかき回す
体位の応用プロンプト 15選		日本語プロンプトひとこと解説正常位（基本）	missionary, hetero, vaginal, penis in pussy, lying on back, spread legs	最も基本で安定する正常位。脚開きで挿入強調
体位の応用プロンプト 15選		正常位（深め・密着）	missionary, deep penetration, hetero, vaginal, legs on shoulders, folded, blush, open mouth	脚を肩に乗せた深め正常位。密着感と喘ぎ顔が出やすい
体位の応用プロンプト 15選		騎乗位（基本）	cowgirl position, girl on top, hetero, vaginal, straddling, bouncing, penis in pussy	定番騎乗位。上下運動が表現されやすい
体位の応用プロンプト 15選		騎乗位（激しく腰振り）	cowgirl position, squatting cowgirl, hetero, vaginal, bouncing breasts, intense, sweat	しゃがみ型で激しく動くバージョン
体位の応用プロンプト 15選		バック（正常後背位）	doggystyle, sex from behind, hetero, vaginal, bent over, ass up, penis in pussy, arched back	最もポピュラーなバック。尻強調が強い
体位の応用プロンプト 15選		バック（立ちバック）	standing doggystyle, standing sex, from behind, hetero, vaginal, bent over, wall, penis in pussy	壁に手をついた立ちバック。迫力が出やすい
体位の応用プロンプト 15選		対面座位（抱き合い）	lotus position, sitting, face to face, hetero, vaginal, straddling, hug, penis in pussy, arms around neck, legs wrapped around waist, kiss	抱き合って密着する対面座位。キスや抱擁と相性◎
体位の応用プロンプト 15選		背面騎乗位（背中＆お尻）	reverse cowgirl, girl on top, hetero, vaginal, facing away, ass focus, penis in pussy, bouncing	尻を向けた騎乗位。尻強調最強クラス
体位の応用プロンプト 15選		駅弁（抱き上げ）	standing missionary, held up, carrying, hetero, vaginal, legs wrapped around waist, deep penetration, penis in pussy, arms around neck	抱き上げて突く駅弁。力強さと密着感が出る
体位の応用プロンプト 15選		69（相互フェラ）	69, mutual oral, hetero, fellatio, cunnilingus, upside down, penis in mouth, tongue out	定番の相互オーラル。上下逆さ構図が特徴
体位の応用プロンプト 15選		寝バック（うつ伏せ）	prone bone, prone position, sex from behind, hetero, vaginal, lying face down, ass up, penis in pussy	うつ伏せで尻を少し上げた寝バック。密着感強め
体位の応用プロンプト 15選		松葉崩し（横正常位）	sideways missionary, spooning, hetero, vaginal, lying on side, penis in pussy, leg up, from side	横から抱きしめるスプーン系。優しい雰囲気も出せる
体位の応用プロンプト 15選		パイルドライバー	piledriver position, upside down, legs up, hetero, vaginal, deep penetration, penis in pussy, flexible	脚を大きく上げたアクロバティック体位。深さ強調
体位の応用プロンプト 15選		フルネルソン（拘束系）	full nelson, held up, from behind, hetero, vaginal, arms held, legs spread, penis in pussy	腕を後ろから固定する拘束バック。支配感強い
体位の応用プロンプト 15選		机の上正常位	missionary, on table, lying on back, legs spread, hetero, vaginal, penis in pussy, desk sex	机やベッド端を使った正常位。シチュエーション映え
体位の変化プロンプト 12選		日本語プロンプトひとこと解説正常位（マットプレス深め）	missionary, mating press, folded, legs up, hetero, vaginal, deep penetration, penis in pussy, blush, open mouth, sweat	脚を強く折り曲げた深め正常位。密着・深さ最強で喘ぎ顔が出やすい
体位の変化プロンプト 12選		正常位（脚ロック）	missionary, leg lock, hetero, vaginal, penis in pussy, lying on back, arms around neck, hug, deep penetration	脚で腰をロックする密着正常位。抱きつき感が強くロマンチック寄り
体位の変化プロンプト 12選		対面座位（lotus強化）	upright straddle, lotus position, sitting, face to face, hetero, vaginal, straddling, hug, arms around neck, legs wrapped around waist, penis in pussy, deep penetration, blush	lotus + upright straddleの最強コンボ。抱き合い・脚巻きで完璧密着
体位の変化プロンプト 12選		背面座位（尻強調）	reverse upright straddle, reverse cowgirl, sitting, facing away, hetero, vaginal, ass focus, penis in pussy, bouncing breasts, arched back	座った背面騎乗位。尻と背中のアーチが美しく出るDanbooru正統派
体位の変化プロンプト 12選		立ち正常位（対面立位）	standing missionary, standing sex, face to face, hetero, vaginal, legs wrapped around waist, deep penetration, penis in pussy, wall, lifted	壁に押し付けての立ち正常位。脚巻きで安定・迫力◎
体位の変化プロンプト 12選		スプーン（横寝バック）	spooning, lying on side, sex from behind, hetero, vaginal, penis in pussy, hug, from side, leg up, intimate	横寝バックの優しいバージョン。抱きしめハグで親密感強い
体位の変化プロンプト 12選		騎乗位（アヘ顔強化）	cowgirl position, girl on top, hetero, vaginal, straddling, bouncing breasts, ahegao, tongue out, rolling eyes, sweat, intense	激しい騎乗位でトロ顔狙い。胸揺れ＋表情崩壊がIllustriousで抜群
