細身の体型を表すプロンプト	Slim Body	スリムで細身
細身の体型を表すプロンプト	Slender Body	細長くしなやか
細身の体型を表すプロンプト	Lean Body	ほっそりしていて脂肪の少ない
細身の体型を表すプロンプト	Skinny Body	非常に細い、やせた
細身の体型を表すプロンプト	Svelte Body	スタイリッシュに細身
細身の体型を表すプロンプト	Willowy Body	長くて細い、しなやかな
細身の体型を表すプロンプト	Lanky Body	背が高くやせた、不格好に細長い
細身の体型を表すプロンプト	Thin Body	シンプルに細い、やせている
細身の体型を表すプロンプト	Petite Body	小柄で細身
細身の体型を表すプロンプト	Slight Body	ほっそりしていて華奢な
細身の体型を表すプロンプト	Twiggy Body	非常に細い、やせている（1960年代のモデルTwiggyから）
細身の体型を表すプロンプト	Gaunt Body	痩せこけた、骨と皮
細身の体型を表すプロンプト	Bony Body	骨ばった、やせて骨が目立つ
細身の体型を表すプロンプト	Skeletal Body	骨だけのような、非常にやせた
細身の体型を表すプロンプト	Wiry Body	細いが筋肉質で強靭な
太った体型を表すプロンプト	Chubby Body	ふっくらとした、少し太め
太った体型を表すプロンプト	Plump Body	ふくよかな、丸々とした
太った体型を表すプロンプト	Curvy Body	曲線的な、丸みを帯びた体型
太った体型を表すプロンプト	Full-Figured Body	豊満な体型
太った体型を表すプロンプト	Heavyset Body	重い体格、がっしりとした
太った体型を表すプロンプト	Stocky Body	がっしりとした、短く太い体型
太った体型を表すプロンプト	Rotund Body	丸い、ふくよかな体型
太った体型を表すプロンプト	Portly Body	ずんぐりとした、太った
太った体型を表すプロンプト	Corpulent Body	肥満した、非常に太った
太った体型を表すプロンプト	Stout Body	しっかりとした体格、頑丈な
太った体型を表すプロンプト	Pudgy Body	ぽっちゃりとした、小太り
太った体型を表すプロンプト	Obese Body	肥満の、非常に太った
太った体型を表すプロンプト	Overweight Body	体重過多の、太り過ぎ
太った体型を表すプロンプト	Bulky Body	かさばる、大きくて太い
太った体型を表すプロンプト	Large Body	大きい体型
胸の大きさを表すプロンプト	Flat Breasts	真っ平らな胸
胸の大きさを表すプロンプト	Small Breasts	小さい胸
胸の大きさを表すプロンプト	Modest Breasts	控えめな胸の大きさ
胸の大きさを表すプロンプト	Medium Breasts	中くらいの胸
胸の大きさを表すプロンプト	Average Breasts	平均的な胸の大きさ
胸の大きさを表すプロンプト	Full Breasts	豊満な胸
胸の大きさを表すプロンプト	Busty Breasts	胸が大きい
胸の大きさを表すプロンプト	Large Breasts	大きな胸
胸の大きさを表すプロンプト	Ample Breasts	たっぷりとした胸
胸の大きさを表すプロンプト	Voluptuous Breasts	豊満で曲線的な胸
胸の大きさを表すプロンプト	Massive Breasts	非常に大きな胸
胸の大きさを表すプロンプト	Oversized Breasts	過大な胸
胸の大きさを表すプロンプト	Generous Breasts	豊かな胸
胸の大きさを表すプロンプト	Substantial Breasts	かなりの大きさの胸
胸の大きさを表すプロンプト	Enormous Breasts	莫大な胸
少し変わった体型のプロンプト	Pear-shaped	下半身が大きく、上半身が小さい体型
少し変わった体型のプロンプト	Apple-shaped	お腹周りが丸く、肩幅が広い体型
少し変わった体型のプロンプト	Hourglass figure	ウエストが細く、胸とヒップが大きい曲線的な体型
少し変わった体型のプロンプト	Inverted triangle	肩幅が広く、下半身が細い体型
少し変わった体型のプロンプト	Athletic build	筋肉質で引き締まった体型
少し変わった体型のプロンプト	Rectangle figure	ウエスト、ヒップ、肩幅がほぼ同じ幅の直線的な体型
少し変わった体型のプロンプト	Rounded figure	全体的に丸みを帯びた、ふくよかな体型
少し変わった体型のプロンプト	Sculpted physique	筋肉が際立っている、彫刻のような体型
少し変わった体型のプロンプト	Willowy frame	華奢でしなやかな、柳のような体型
少し変わった体型のプロンプト	Compact stature	小柄でコンパクトな体型
少し変わった体型のプロンプト	Brawny build	たくましくて筋肉質な体型
少し変わった体型のプロンプト	Stocky frame	がっしりとした、短く太い体型
少し変わった体型のプロンプト	Svelte silhouette	スリムで洗練された体型
少し変わった体型のプロンプト	Lanky form	背が高く、手足が長い細長い体型
少し変わった体型のプロンプト	Plump shape	ふくよかで丸みを帯びた体型
少し変わった体型のプロンプト	Sturdy constitution	頑丈でしっかりした体型
少し変わった体型のプロンプト	Lean figure	脂肪が少なく、細い体型
少し変わった体型のプロンプト	Chiseled form	鋭角的で彫刻的な体型
少し変わった体型のプロンプト	Curvaceous physique	曲線的で豊満な体型
少し変わった体型のプロンプト	Balanced build	バランスの取れた体型
